Timestamp,Street ID,Day/Night,Traffic Count,Traffic Density,Traffic Speed,Ambient Light (lux),Weather,Energy Consumption (kWh),Power State,Dim Level,Latitude,Longitude,Special Event,Holiday/Weekend
2024-01-21 05:27:00,8,Day,154,41.75017291561123,59.38388411447831,172.43906508394792,Clear,0.37,1,50,40.877091839815726,-73.81353766977145,1,0
2024-01-11 12:15:00,3,Night,103,30.949961191980766,24.20858620846751,189.3390420475644,Rainy,0.0,0,100,40.862553331001074,-74.12594318793971,0,0
2024-01-29 20:18:00,9,Night,203,32.08960735460401,29.733311871024064,200.23603583421854,Cloudy,0.0,0,75,40.80982569568925,-73.8537242361468,1,0
2024-01-05 13:42:00,5,Day,161,27.758248991263713,27.850047047853653,197.0784041652081,Cloudy,0.78,1,100,40.529601283455385,-74.07330166624979,0,0
2024-01-08 07:45:00,1,Night,55,41.49245607160468,59.28213280305033,279.10977537762705,Clear,0.46,1,50,40.56581691009973,-74.11674236200211,1,1
2024-01-26 17:13:00,6,Night,200,28.293919407708408,23.986351028223176,226.65412271901386,Cloudy,0.83,1,100,40.72857024464785,-73.85913926697171,0,0
2024-01-15 17:21:00,2,Day,244,26.971331329402872,48.98025905516132,137.1543221453574,Clear,0.0,0,50,40.751900174288366,-73.77109106295624,0,0
2024-01-12 04:06:00,6,Day,228,16.025011483655177,46.700968547303816,34.36878948564482,Cloudy,0.43,1,100,40.55216250862392,-74.16682238090326,1,0
2024-01-10 17:16:00,1,Day,51,31.692599698473032,58.17235886225107,85.19757739169873,Clear,0.0,0,75,40.56995963738369,-73.88471373217855,0,0
2024-01-23 08:54:00,1,Day,81,55.38302121858579,47.332112487657675,66.61026388569074,Clear,0.0,0,100,40.60396549691887,-74.05954125078397,0,1
2024-01-03 15:27:00,10,Day,138,57.747126543601624,33.42482340158365,23.680305180785822,Clear,0.0,0,0,40.54624192178212,-74.13199919798637,0,1
2024-01-09 07:47:00,4,Night,264,23.52800866528994,33.43668674165531,271.20194346473284,Cloudy,0.0,0,100,40.80956870497043,-73.70619231591706,0,0
2024-01-22 19:23:00,2,Day,265,10.452965056380089,50.14616343320274,162.48597842036557,Cloudy,0.0,0,25,40.56969593890199,-73.78440058668485,1,1
2024-01-29 04:30:00,6,Night,215,43.40376173118113,52.415510872845715,21.552218887511366,Rainy,0.21,1,75,40.8585309844725,-73.985156569584,0,1
2024-01-10 08:37:00,7,Night,96,50.50216978767611,37.46744834121029,201.2568706070994,Clear,0.44,1,75,40.712820939187075,-73.87354567576342,1,0
2024-01-09 14:01:00,2,Day,232,46.75139714797717,57.19107503496282,248.9958307090786,Cloudy,0.0,0,25,40.64576446488374,-73.88767979011446,0,1
2024-01-23 03:57:00,6,Day,136,47.636134842076785,57.49932811590418,136.33084117838288,Clear,0.52,1,100,40.57287947216819,-73.79075510473957,1,0
2024-01-06 06:42:00,7,Day,167,53.64595115290391,39.75459305048287,17.38604040522459,Clear,0.0,0,0,40.85994410107999,-73.9617196314964,0,0
2024-01-27 21:55:00,1,Night,87,25.467379574424566,25.546591545496426,109.45213069241906,Cloudy,0.0,0,75,40.657468269132146,-73.84065041481938,1,1
2024-01-18 10:09:00,10,Day,71,42.1779786264232,40.85819020686539,25.26322669210482,Rainy,0.16,1,100,40.56313033261041,-73.98899533930127,1,0
2024-01-21 03:59:00,1,Night,168,41.38692006658828,45.85032246468066,9.79209717437795,Cloudy,0.15,1,0,40.6112884267152,-73.83593313629618,1,0
2024-01-09 03:39:00,9,Day,113,39.20356706884821,55.50406520300783,69.11140470007243,Cloudy,0.0,0,25,40.52225744536294,-74.01787252326771,1,0
2024-01-15 18:45:00,1,Day,120,52.71086338286669,57.160325194324244,75.48022104427541,Rainy,0.21,1,50,40.731039125584566,-73.7243999926122,0,0
2024-01-24 16:13:00,2,Day,233,41.47648889352296,28.561552303339983,299.4187157156761,Rainy,0.0,0,75,40.656942841888274,-73.93051099397951,0,0
2024-01-23 21:49:00,9,Day,206,17.510492267717623,55.05514274150936,242.36118444528518,Clear,0.61,1,50,40.52103683934686,-74.06228219722213,0,0
2024-01-23 13:37:00,6,Night,123,11.305973740573323,30.80700777454385,13.109836940070313,Cloudy,0.0,0,0,40.87112298754996,-74.03027967437164,0,0
2024-01-06 14:12:00,4,Day,152,34.937492986514386,55.71910408580267,149.66603353939652,Cloudy,0.33,1,0,40.86788260001698,-73.85902491767908,0,0
2024-01-15 01:24:00,7,Day,146,37.959282497690054,43.99360771948296,302.93003719469937,Cloudy,0.0,0,75,40.86272673157376,-73.97223065753266,0,0
2024-01-30 01:05:00,6,Day,180,38.66533330191997,53.86671526426735,166.26210998465712,Clear,0.39,1,75,40.813552332664884,-73.90537006715512,0,0
2024-01-06 21:47:00,1,Day,154,16.835162691752707,30.94071358782754,149.3556910066077,Cloudy,0.0,0,25,40.804098935579056,-73.893492123583,1,1
2024-01-20 20:52:00,10,Day,66,56.16747529879164,32.976895153903286,69.8229562363266,Clear,0.0,0,75,40.89918901329646,-73.94409269509532,0,1
2024-01-08 14:19:00,10,Day,243,38.92017541802879,40.96701314237822,81.69258723277615,Rainy,0.0,0,100,40.85984246792732,-73.81098159415916,1,0
2024-01-08 16:23:00,5,Night,54,22.21161060366781,34.74483991710915,83.04959463908236,Cloudy,0.0,0,100,40.58185417150294,-74.13082187639672,0,1
2024-01-14 11:51:00,5,Night,72,50.71264352211789,40.36618534298654,44.91196964484538,Clear,0.0,0,0,40.72179257786033,-74.15779941438666,1,1
